engine,case_id,symbol,scope,axis,volume_status,raw_volume,volume_unit,available_at,bucket,note,cap_on,participation_rate,status,reason,action,shares,fill_px,cash_after,production_replay,full_replay_status,full_strategy_nav,full_strategy_return,max_drawdown,strategy_rank,strategy_rank_delta
v7,000021.SZ_20260916_894_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260916_894_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,895,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
Book,000021.SZ_20260917_585_pending_chase,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,586,reader_drops_volume_no_audited_units_or_availability,False,,FILLED,chase:T+1,buy,200,36.33000183105469,992726.7336334229,DATA_GAP,DATA_GAP,,,,,
Book,000021.SZ_20260917_585_pending_chase,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,586,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,skip_volume_unavailable:missing_or_untyped,buy,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_884_trial,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_884_trial,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_884_four,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_884_four,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_884_six,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_884_six,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_884_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,False,,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
v7,000021.SZ_20260917_884_eight,000021.SZ,local event sensitivity not strategy claim,capacity_close,DATA_GAP,,,,885,reader_drops_volume_no_audited_units_or_availability,True,0.1,NO_FILL,none,none,0,,1000000.0,DATA_GAP,DATA_GAP,,,,,
